family,species,status
DICKSONIACEAE,Culcita coniifolia (Hook.) Maxon,EN
DICKSONIACEAE,Dicksonia sellowiana Hook.,VU
DRYOPTERIDACEAE,Megalastrum wacketii (Rosenst. ex C.Chr.) A.R.Sm. & R.C.Moran,EN
DRYOPTERIDACEAE,Elaphoglossum edwallii Rosenst.,VU
DRYOPTERIDACEAE,Elaphoglossum strictum (Raddi) T.Moore,VU
HYMENOPHYLLACEAE,Didymoglossum ovale (E.Fourn.) Wess. Boer.,EN
ISOETACEAE,Isoetes bradei Herter,EX
LYCOPODIACEAE,Diphasium jussiaei (Desv. ex Poir.) Rothm.,VU
POLYPODIACEAE,Ceradenia glaziovii (Baker) Labiak,EN
POLYPODIACEAE,Grammiris fluminensis Fée,EN
POLYPODIACEAE,Lellingeria tamandarei (Rosenst.) A.R.Sm. & R.C.Moran,EN
POLYPODIACEAE,Lellingeria brasiliensis (Rosenst.) Labiak,VU
PTERIDACEAE,Adiantum mynsseniae J.Prado,EN
PTERIDACEAE,Cheilanthes goyazensis (Taub.) Domin,EN
PTERIDACEAE,Cheilanthes regnelliana Mett.,EN
PTERIDACEAE,Doryopteris itatiaiensis (Fée) Christ,EN
PTERIDACEAE,Doryopteris paradoxa (Fée) Christ,VU
PTERIDACEAE,Doryopteris rediviva Fée,VU
SELAGINELLACEAE,Selaginella convoluta (Arn.) Spring,EN
SELAGINELLACEAE,Selaginella mendoncae Hieron.,VU
THELYPTERIDACEAE,Goniopteris multigemmifera (Salino) Salino & T.E.Almeida,EN
THELYPTERIDACEAE,Meniscium macrophyllum Kunze,EX
ARAUCARIACEAE,Araucaria angustifolia (Bertol.) Kuntze,EN
ACANTHACEAE,Aphelandra squarrosa Nees,EW
ACANTHACEAE,Lepidagathis meridionalis Kameyama,VU
ACANTHACEAE,Staurogyne itatiaiae (Wawra) Leonard,EN
ACANTHACEAE,Stenandrium diphyllum Nees,EX
ACANTHACEAE,Stenandrium mandioccanum Nees,VU
ALISMATACEAE,Echinodorus paniculatus Micheli,EX
ALISMATACEAE,Limnocharis laforestii Duchass,VU
ALSTROEMERIACEAE,Alstroemeria apertiflora Baker,EN
ALSTROEMERIACEAE,Alstroemeria caryophyllaea Jacq.,EW
ALSTROEMERIACEAE,Alstroemeria foliosa Mart.ex Schult & Schult. f.,EN
ALSTROEMERIACEAE,Alstroemeria plantaginea Mart. ex Schult & Schult. f.,EN
AMARANTHACEAE,Alternanthera aquatica (D. Parodi) Chodat,VU
AMARANTHACEAE,Alternanthera bahiensis Pedersen,VU
AMARANTHACEAE,Alternanthera flavescens Kunth,VU
AMARANTHACEAE,Alternanthera micrantha R.E. Fr.,VU
AMARANTHACEAE,Alternanthera paronychioides A.St.-Hil.,EX
AMARANTHACEAE,Alternanthera reinekii Briq.,VU
AMARANTHACEAE,Alternanthera lanceolata (Benth.) Schinz,VU
AMARANTHACEAE,Gomphrena agrestis Mart.,VU
AMARANTHACEAE,Gomphrena elegans Mart.,VU
AMARYLLIDACEAE,Crinum americanum L.,VU
AMBLYSTEGIACEAE,Anacamptodon cubensis (Sull.) Mitt.,EX
AMARYLLIDACEAE,Eithea blumenavia (K.Koch & C.D.Bouché ex Carrière) Ravenna,EN
ANEURACEAE,Riccardia schwaneckei (Steph.) Pagán,EX
AMARYLLIDACEAE,Griffinia hyacinthina Ker Gawl.,EN
ANOMODONTACEAE,Herpertineuron toccoae (Sull. & Lesq.) Cardot,VU
AMARYLLIDACEAE,Hippeastrum angustifolium Pax,EW
ANTHOCEROTACEAE,Folioceros apiahynus (Steph.) Hässel,EX
AMARYLLIDACEAE,Hippeastrum blossfeldiae (Traub & L.J.Doran) van Scheepen,VU
BALANTIOPSIDACEAE,Neesioscyphus carneus (Nees) Grolle,EX
AMARYLLIDACEAE,Hippeastrum morelianum Lem.,VU
BARTRAMIACEAE,Breutelia microdonta (Mitt.) Broth.,EX
AMARYLLIDACEAE,Hippeastrum psittacinum (Ker Gawl.) Herb.,EN
BARTRAMIACEAE,Breutelia subdisticha (Hampe) A.Jaeger,EX
AMARYLLIDACEAE,Hippeastrum reginae (L.) Herb.,EN
BRYACEAE,Anomobryum conicum (Hornsch.) Broth.,VU
AMARYLLIDACEAE,Hippeastrum striatum (Lam.) Moore,EN
BRYACEAE,Brachymenium morasicum Besch.,EX
AMARYLLIDACEAE,Zephyranthes candida (Lindl.) Herb.,EN
BRYACEAE,Bryum pabstianum Müll. Hal.,EX
ANNONACEAE,Annona glaucophylla R.E.Fr.,EX
BRYACEAE,Rhodobryum pseudomarginatum (Geh. & Hampe) Paris,VU
ANNONACEAE,Annona ubatubensis (Maas & Westra) H.Rainer,EN
CALYMPERACEAE,Syrrhopodon cryptocarpus Dozy & Molk.,VU
ANNONACEAE,Annona xylopiifolia A.St.-Hil. & Tul.,EX
CALYPOGEIACEAE,Calypogeia uncinulatula Herzog,EX
ANNONACEAE,Duguetia salicifolia R.E.Fr.,VU
CALYPOGEIACEAE,Mnioloma crenulatum (Bischl.) R.M.Schust.,VU
ANNONACEAE,Trigynaea oblongifolia Schltdl.,EN
CRYPHAEACEAE,Schoenobryum rubricaule (Mitt.) Manuel,EX
APIACEAE,Apium prostratum Labill.,VU
DICRANACEAE,Campylopus angustiretis (Austin) Lesq. & James,VU
APIACEAE,Eryngium glaziovianum Urb.,EX
DICRANACEAE,Campylopus densicoma (Müll.Hal.) Paris,EN
APIACEAE,Eryngium koehneanum Urb.,EN
APIACEAE,Eryngium sanguisorba Cham. & Schltdl.,EX
BROMELIACEAE,Nidularium bocainense Leme,VU
GESNERIACEAE,Codonanthe carnosa (Gardner) Hanst.,VU
MELASTOMATACEAE,Leandra paulina DC.,VU
APIACEAE,Eryngium scirpinum Cham.,EN
BROMELIACEAE,Nidularium campos-portoi (L.B.Sm.) Wand. & B.A.Moreira,VU
GESNERIACEAE,Codonanthe venosa Chautems,VU
MELASTOMATACEAE,Leandra pauloensis Hoehne,EX
APIACEAE,Eryngium stenophyllum Urb.,EX
BROMELIACEAE,Nidularium corallinum (Leme) Leme,EN
GESNERIACEAE,Nematanthus crassifolius (Schott) Wiehler,VU
MELASTOMATACEAE,Leandra quinquenodis (DC.) Cogn.,EN
APIACEAE,Hydrocotyle exigua (Urb.) Malme,EN
BROMELIACEAE,Nidularium itatiaiae L.B.Sm.,EX
GESNERIACEAE,Nematanthus mattosianus (Handro) H.E.Moore,VU
MELASTOMATACEAE,Leandra riedeliana (O.Berg ex Triana) Cogn.,EX
APIACEAE,Hydrocotyle langsdorffii DC.,EX
BROMELIACEAE,Nidularium jonesianum Leme,EX
GESNERIACEAE,Nematanthus monanthos (Vell.) Chautems,EN
MELASTOMATACEAE,Leandra sparsisetulosa Hoehne,EX
APIACEAE,Hydrocotyle pusilla A.Rich.,EX
BROMELIACEAE,Nidularium minutum Mez,VU
GESNERIACEAE,Nematanthus strigillosus (Mart.) H.E.Moore,EX
MELASTOMATACEAE,Leandra strigilliflora (Naudin) Cogn.,VU
APIACEAE,Spananthe paniculata Jacq.,EX
BROMELIACEAE,Nidularium rolfianum Leme,VU
GESNERIACEAE,Sinningia araneosa Chautems,VU
MELASTOMATACEAE,Leandra tristis Cogn.,EN
APOCYNACEAE,Asclepias aequicornu E.Fourn.,EN
BROMELIACEAE,Tillandsia araujei Mez,VU
GESNERIACEAE,Sinningia canescens (Mart.) Wiehler,VU
MELASTOMATACEAE,Leandra uliginosa Brade,VU
APOCYNACEAE,Asclepias langsdorfii E.Fourn.,EX
BROMELIACEAE,Tillandsia crocata (E.Morren) Baker,VU
GESNERIACEAE,Sinningia glazioviana (Fritsch) Chautems,CR
MELASTOMATACEAE,Leandra umbellata DC.,EN
APOCYNACEAE,Aspidosperma macrocarpon Mart.,VU
BROMELIACEAE,Tillandsia linearis Vell.,VU
GESNERIACEAE,Sinningia hatschbachii Chautems,EN
MELASTOMATACEAE,Leandra vesiculosa Cogn.,EN
APOCYNACEAE,Aspidosperma nobile Müll.Arg.,CR
BROMELIACEAE,Tillandsia polystachia (L.) L.,VU
GESNERIACEAE,Sinningia iarae Chautems,EN
MELASTOMATACEAE,Leandra viridiflava Brade,VU
APOCYNACEAE,Aspidosperma quirandy Hassl.,EN
BROMELIACEAE,Tillandsia recurvifolia Hook.,VU
GESNERIACEAE,Sinningia insularis (Handro) Chautems,EN
MELASTOMATACEAE,Miconia macrothyrsa Benth.,EN
APOCYNACEAE,Aspidosperma riedelii Müll.Arg.,EN
BROMELIACEAE,Vriesea lubbersii (Baker) E.Morren ex Mez,EX
GESNERIACEAE,Sinningia magnifica (Otto & A.Dietr.) Wiehler,VU
MELASTOMATACEAE,Miconia mendoncae Cogn.,VU
APOCYNACEAE,Aspidosperma spruceanum Benth. ex Müll.Arg.,EN
BROMELIACEAE,Vriesea neoglutinosa Mez,VU
GESNERIACEAE,Sinningia micans (Fritsch) Chautems,EN
MELASTOMATACEAE,Miconia picinguabensis R.Goldenb. & A.B.Martins,EN
APOCYNACEAE,Ditassa lagoensis E.Fourn.,EX
BROMELIACEAE,Vriesea pardalina Mez,EX
GESNERIACEAE,Sinningia piresiana (Hoehne) Chautems,EN
MELASTOMATACEAE,Miconia polyandra Gardner,VU
APOCYNACEAE,Macroditassa marianae Fontella & Ferreira,EN
BROMELIACEAE,Vriesea pauperrima E.Pereira,VU
GESNERIACEAE,Sinningia warmingii (Hiern.) Chautems,VU
MELASTOMATACEAE,Miconia robustissima Cogn.,EN
APOCYNACEAE,Macroscepis magnifica Malme,EX
BROMELIACEAE,Vriesea platzmannii E.Morren,VU
HYPERICACEAE,Hypericum mutilum L.,VU
MELASTOMATACEAE,Miconia sclerophylla Triana,EN
APOCYNACEAE,Mandevilla fragrans (Staldem.) Woodson,EX
BROMELIACEAE,Vriesea regnellii Mez,EX
HYPERICACEAE,Hypericum piriai Arechav.,EX
MELASTOMATACEAE,Miconia serrulata (DC.) Naudin,VU
APOCYNACEAE,Mandevilla sellowii (Müll.Arg.) Woodson,EX
BROMELIACEAE,Vriesea rubyae E.Pereira,CR
HYPERICACEAE,Hypericum rigidum A.St.-Hil.,EX
MELASTOMATACEAE,Miconia shepherdii R.Goldenb. & Reginato,EN
APOCYNACEAE,Mandevilla venulosa (Müll.Arg.) Woodson,VU
BROMELIACEAE,Vriesea sazimae Leme,VU
HYPERICACEAE,Vismia martiana Reichardt,EN
MELASTOMATACEAE,Miconia tentaculifera Naudin,VU
APOCYNACEAE,Matelea glaziovii (E.Fourn.) Morillo,VU
BROMELIACEAE,Vriesea sparsiflora L.B.Sm.,EX
IRIDACEAE,Neomarica glauca (Seub. ex Klatt) Sprague,VU
MELASTOMATACEAE,Miconia urophylla DC.,VU
APOCYNACEAE,Matelea marcoassisii Fontella,VU
BROMELIACEAE,Vriesea taritubensis E.Pereira & I.A.Penna,VU
LAMIACEAE,Aegiphila capitata Moldenke,EX
MELASTOMATACEAE,Microlicia myrtoidea Cham.,VU
APOCYNACEAE,Oxypetalum confusum Malme,EX
BROMELIACEAE,Vriesea vulpinoidea L.B.Sm.,VU
LAMIACEAE,Hyptis alpestris A.St.-Hil. ex Benth.,EN
MELASTOMATACEAE,Pleroma guartelaensis F.S.Mey & R.Goldenb.,VU
APOCYNACEAE,Oxypetalum ekblomii Malme,EN
BROMELIACEAE,Wittrockia gigantea (Baker) Leme,VU
LAMIACEAE,Hyptis lagenaria A.St.-Hil. ex Benth.,EN
MELASTOMATACEAE,Pterolepis perpusilla (Naudin) Cogn.,VU
APOCYNACEAE,Oxypetalum glaziovii (E.Fourn.) Fontella & Marquete,EN
BURMANNIACEAE,Burmannia australis Malme,EX
LAMIACEAE,Hyptis lavandulacea Pohl ex Benth.,EX
MELASTOMATACEAE,Rhynchanthera grandiflora (Aubl.) DC.,VU
APOCYNACEAE,Oxypetalum regnellii (Malme) Malme,VU
BURMANNIACEAE,Burmannia flava Mart.,EX
LAMIACEAE,Hyptis lobata A.St.-Hil. ex Benth.,EX
MELASTOMATACEAE,Siphanthera cordata Pohl ex DC.,VU
APOCYNACEAE,Oxypetalum strictum Mart.,EX
CABOMBACEAE,Cabomba aquatica Aubl.,EX
LAMIACEAE,Hyptis riparia Harley,EX
MELASTOMATACEAE,Siphanthera dawsonii Wurdack,VU
APOCYNACEAE,Prestonia bahiensis Müll.Arg.,EX
CACTACEAE,Hatiora herminiae (Campos Porto & Castellanos) Backeb.,VU
LAMIACEAE,Hyptis uliginosa A.St.-Hil. ex Benth.,EX
MELASTOMATACEAE,Tibouchina aegopogon (Naudin) Cogn.,EN
APOCYNACEAE,Prestonia solanifolia (Müll.Arg.) Woodson,EX
CACTACEAE,Rhipsalis crispata Pfeiff.,VU
LAMIACEAE,Rhabdocaulon gracile (Benth.) Epling,EX
MELASTOMATACEAE,Tibouchina cinerea Cogn.,VU
APOCYNACEAE,Widgrenia corymbosa Malme,EX
CACTACEAE,Rhipsalis dissimilis K. Schum.,EN
LAMIACEAE,Salvia campos-portoi Brade,EX
MELASTOMATACEAE,Tibouchina eichleri Cogn.,EX
CACTACEAE,Schlumbergera lutea Calvente & Brade subsp. bradei LAMIACEAE Salvia lachnostachys Benth.,EX
MELASTOMATACEAE,Tibouchina herincquiana Cogn.,VU
LAURACEAE,Aiouea bracteata Kosterm.,VU
MELASTOMATACEAE,Tibouchina itatiaiae Cogn.,VU
CACTACEAE,Schlumbergera opuntioides (Loefgr. & Dusen) D.R.Hunt,VU
LAURACEAE,Aiouea piauhyensis (Meisn.) Mez,EX
MELASTOMATACEAE,Tibouchina minutiflora Cogn.,VU
CALYCERACEAE,Acicarpha tribuloides Juss.,EX
LAURACEAE,Aiouea trinervis Meisn.,EN
MELASTOMATACEAE,Tibouchina riedeliana Cogn.,EX
CALYCERACEAE,Boopis bupleuroides (Less) C. A.Mull.,EX
LAURACEAE,Aniba heringerii Vattimo-Gil,EN
MELASTOMATACEAE,Tibouchina schenckii Cogn.,EX
CALYCERACEAE,Boopis itatiaiae Dusén,EN
LAURACEAE,Beilschmiedia fluminensis Kosterm.,VU
MELASTOMATACEAE,Tibouchina serrana P.J.F.Guim. & A.B.Martins,VU
CAMPANULACEAE,Lobelia hederacea Cham.,EX
LAURACEAE,Cryptocarya botelhensis P.L.R. de Moraes,VU
MELASTOMATACEAE,Tibouchina versicolor (Lindl.) Cogn.,VU
CAMPANULACEAE,Lobelia nummularioides Cham.,EX
LAURACEAE,Cryptocarya micrantha Meisn.,VU
MELIACEAE,Cedrela fissilis Vell.,VU
CAMPANULACEAE,Lobelia xalapensis Kunth,EX
LAURACEAE,Nectandra angustifolia (Schrad) Nees,EN
MELIACEAE,Cedrela odorata L.,VU
CAMPANULACEAE,Siphocampylus lycioides (Cham.) G.Don,EN
LAURACEAE,Nectandra barbellata Coe-Teix.,VU
MOLLUGINACEAE,Glinus radiatus (Ruiz & Pav.) Rohrb.,EX
CAPRIFOLIACEAE,Valeriana glaziovii Taub.,EN
LAURACEAE,Nectandra cissiflora Nees,VU
MONIMIACEAE,Mollinedia luizae Peixoto,VU
CAPRIFOLIACEAE,Valeriana organensis Gardner,CR
LAURACEAE,Nectandra debilis Mez,VU
MONIMIACEAE,Mollinedia oligotricha Perkins,EX
CAPRIFOLIACEAE,Valeriana reitziana Borsini,VU
LAURACEAE,Nectandra hihua (Ruiz & Pav.) Rohwer,EN
MONIMIACEAE,Mollinedia pachysandra Perkins,VU
CELASTRACEAE,Maytenus brasiliensis Mart.,CR
LAURACEAE,Nectandra paranaensis Coe-Teix.,VU
MONIMIACEAE,Mollinedia salicifolia Perkins,VU
CELASTRACEAE,Maytenus ilicifolia Mart.,VU
LAURACEAE,Ocotea basicordatifolia Vattimo-Gil,VU
MORACEAE,Brosimum glaziovii Taub.,VU
CELASTRACEAE,Salacia mosenii A.C.Sm.,CR
LAURACEAE,Ocotea beulahiae Baitello,EN
MORACEAE,Ficus cyclophylla (Miq.) Miq.,VU
CELASTRACEAE,Schaefferia argentinensis Speg.,CR
LAURACEAE,Ocotea beyrichii (Nees) Mez,VU
MYRISTICACEAE,Virola bicuhyba (Schott ex Spreng.) Warb.,EN
CELASTRACEAE,Tontelea martiana (Miers) A.C.Sm.,EN
LAURACEAE,Ocotea bragai Coe-Teix.,EN
MYRTACEAE,Calyptranthes brasiliensis Spreng.,EX
ARALIACEAE,Hydrocotyle langsdorffii DC.,EX
CHRYSOBALANACEAE,Couepia leitaofilhoi Prance,VU
LAURACEAE,Ocotea catharinensis Mez,VU
MYRTACEAE,Calyptranthes curta Sobral & O.Aguiar,EN
ARALIACEAE,Hydrocotyle pusilla A. Rich.,EX
CHRYSOBALANACEAE,Couepia meridionalis Prance,EX
LAURACEAE,Ocotea daphnifolia (Meisn.) Mez,VU
MYRTACEAE,Calyptranthes dichotoma Casar.,EX
ARECACEAE,Acrocomia emensis (Toledo) Lorenzi,VU
CHRYSOBALANACEAE,Licania gardneri (Hook. f.) Fritsch,EX
LAURACEAE,Ocotea felix Coe-Teix.,EN
MYRTACEAE,Calyptranthes dryadica M.L.Kawas.,VU
ARECACEAE,Acrocomia hassleri (Barb.Rodr.) W.J.Hahn,EN
CHRYSOBALANACEAE,Licania indurata Pilg.,EX
LAURACEAE,Ocotea frondosa (Meisn.) Mez,VU
MYRTACEAE,Calyptranthes fusiformis M.L.Kawas.,VU
ARECACEAE,Attalea oleifera Barb.Rodr.,VU
CHRYSOBALANACEAE,Parinari brasiliensis (Schott) Hook.f.,EN
LAURACEAE,Ocotea inhauba Coe-Teix.,EX
MYRTACEAE,Calyptranthes grammica (Spreng.) D.Legrand,VU
ARECACEAE,Butia microspadix Burret,VU
CLEOMACEAE,Hemiscola diffusa (Banks ex DC.) Iltis,EX
LAURACEAE,Ocotea mosenii Mez,VU
MYRTACEAE,Calyptranthes maritima Sobral & Bertoncello,VU
ARECACEAE,Euterpe edulis Mart.,VU
CLUSIACEAE,Hypericum mutilum L.,VU
LAURACEAE,Ocotea odorifera (Vell.) Rohwer,EN
MYRTACEAE,Calyptranthes obovata Kiaersk.,EX
ARECACEAE,Mauritia flexuosa L.f.,VU
CLUSIACEAE,Hypericum piriai Arechav.,EX
LAURACEAE,Ocotea porosa (Nees & Mart.) L.Barroso,EN
MYRTACEAE,Calyptranthes serrana A.R.Lourenço,VU
ARISTOLOCHIACEAE,Aristolochia cymbifera Mart.,VU
CLUSIACEAE,Hypericum rigidum A. St.-Hil.,EX
LAURACEAE,Ocotea serrana Coe-Teix.,EN
MYRTACEAE,Calyptranthes solitaria Sobral, O.Aguiar & Antunes,VU
ARISTOLOCHIACEAE,Aristolochia odora Steud.,EX
CLUSIACEAE,Vismia martiana Reichardt,CR
LAURACEAE,Ocotea tabacifolia (Meisn.) Rohwer,EN
MYRTACEAE,Calyptranthes ubatubana Sobral & Rochelle,VU
ASTERACEAE,Aldama aspilioides (Baker) E.E.Schill. & Panero,VU
COMBRETACEAE,Buchenavia parvifolia subsp. rabelloana (N.F.Mattos) Alwan & Stace,VU
LAURACEAE,Ocotea vaccinioides (Meisn.) Rohwer,VU
MYRTACEAE,Campomanesia aurea O.Berg,EN
ASTERACEAE,Aspilia floribunda Baker,EN
COMBRETACEAE,Buchenavia hoehneana N.F.Mattos,VU
LAURACEAE,Ocotea virgultosa (Nees) Mart.,EN
MYRTACEAE,Eugenia angustissima O.Berg,EN
ASTERACEAE,Austrocritonia angulicaulis (Baker) R.M.King & H.Rob.,VU
CONNARACEAE,Rourea pseudospadicea G.Schellenb.,EN
LAURACEAE,Persea obovata Nees & Mart.,CR
MYRTACEAE,Eugenia arenosa Mattos,VU
ASTERACEAE,Austroeupatorium rosmarinaceum (Cabrera & Vittet) CONVOLVULACEAE Convolvulus hasslerianus (Chodat) O’Donell,EX
LAURACEAE,Persea punctata Meisn.,EN
MYRTACEAE,Eugenia bahiensis DC.,VU
CONVOLVULACEAE,Evolvulus chrysotrichos Meisn.,EX
LAURACEAE,Persea rigida Nees & Mart.,EN
MYRTACEAE,Eugenia brunneopubescens Mazine,VU
ASTERACEAE,Barrosoa apiculata (Gardner) R.M.King & H.Rob.,EX
CONVOLVULACEAE,Evolvulus cressoides Mart.,EN
LAURACEAE,Urbanodendron bahiense (Meisn.) Rohwer,VU
MYRTACEAE,Eugenia bunchosiifolia Nied.,VU
ASTERACEAE,Bidens bipinnata L.,EN
CONVOLVULACEAE,Evolvulus elegans Moric. var. confertifolius Meisn.,EX
LECYTHIDACEAE,Cariniana legalis (Mart.) Kuntze,VU
MYRTACEAE,Eugenia catharinensis D.Legrand,VU
ASTERACEAE,Calea acaulis Baker,EX
CONVOLVULACEAE,Evolvulus filipes Mart.,EX
LENTIBULARIACEAE,Genlisea aurea A.St.-Hil.,EN
MYRTACEAE,Eugenia cinerascens Gardner,EX
ASTERACEAE,Calea gentianoides DC.,EN
CONVOLVULACEAE,Evolvulus fuscus Meisn.,EN
LENTIBULARIACEAE,Genlisea repens Benj.,EN
MYRTACEAE,Eugenia disperma Vell.,VU
ASTERACEAE,Calea polycephala (Baker) H.Rob.,VU
CONVOLVULACEAE,Evolvulus riedelii Meisn.,EN
LENTIBULARIACEAE,Genlisea violacea A.St.-Hil.,EX
MYRTACEAE,Eugenia gracillima Kiaersk.,VU
ASTERACEAE,Campuloclinium parvulum (Glaziou ex B.L.Rob.) R.M.King & H.Rob.,VU
CONVOLVULACEAE,Evolvulus stellariifolius Ooststr.,VU
LENTIBULARIACEAE,Utricularia nigrescens Sylvén,EN
MYRTACEAE,Eugenia handroi (Mattos) Mattos,VU
ASTERACEAE,Campuloclinium riedelii (Baker) R.M.King & H.Rob.,EN
CONVOLVULACEAE,Ipomoea acutisepala O'Donell,VU
LENTIBULARIACEAE,Utricularia olivacea C.Wright ex Griseb.,VU
MYRTACEAE,Eugenia hermesiana Mattos,CR
ASTERACEAE,Chromolaena arrayana (Gardner) R.M.King & H.Rob.,VU
CONVOLVULACEAE,Ipomoea aprica House,VU
LENTIBULARIACEAE,Utricularia trichophylla Spruce ex Oliv.,VU
MYRTACEAE,Eugenia lambertiana DC.,VU
ASTERACEAE,Chromolaena elliptica (Hook. & Arn.) R.M.King & H.Rob.,EX
CONVOLVULACEAE,Ipomoea hirsutissima Gardner,EX
LENTIBULARIACEAE,Utricularia warmingii Kam.,EX
MYRTACEAE,Eugenia longibracteata Mazine,VU
ASTERACEAE,Chromolaena latisquamulosa (Hiern.) R.M.King & H.Rob.,VU
CONVOLVULACEAE,Ipomoea pinifolia Meisn.,EX
LINACEAE,Linum littorale A.St.-Hil.,EN
MYRTACEAE,Eugenia macahensis O.Berg,VU
ASTERACEAE,Chromolaena rhinanthacea (DC.) R.M.King & H.Rob.,EX
CONVOLVULACEAE,Ipomoea sericophylla Meisn.,EX
LOASACEAE,Aosa parviflora (Schrad. ex DC.) Weigend,EN
MYRTACEAE,Eugenia macrobracteolata Mattos,EN
ASTERACEAE,Disynaphia ericoides (DC.) R.M.King & H.Rob.,EN
CONVOLVULACEAE,Ipomoea subrevoluta Choisy,VU
LOASACEAE,Blumenbachia scabra (Miers) Urb.,EN
MYRTACEAE,Eugenia malacantha D.Legrand,EN
ASTERACEAE,Enhydra sessilis DC.,EX
CONVOLVULACEAE,Jacquemontia acrocephala Meisn.,EX
LOGANIACEAE,Spigelia amplexicaulis E.F.Guimar. & Fontella,EW
MYRTACEAE,Eugenia modesta DC.,VU
ASTERACEAE,Eremanthus elaeagnus (Mart. ex DC.) Sch.Bip.,VU
CONVOLVULACEAE,Jacquemontia glabrescens (Meisn.) M.Pastore & Sim.-Bianch.,EX
LOGANIACEAE,Spigelia reitzii L.B.Sm.,EN
MYRTACEAE,Eugenia neophaea Sobral & Mazine,EN
